Buy Date,Sell Date,Buy Price,Sell Price,Trade Profit,Net Value
2013-06-20,2013-07-11,33.4900016784668,35.0,4230.872456249354,104230.87245624936
2013-07-19,2013-08-23,31.399999618530273,35.16999816894531,11307.920519958414,115538.79297620777
2014-01-06,2014-01-31,36.130001068115234,36.95000076293945,2503.7466860149984,118042.53966222277
2014-02-05,2014-02-11,35.81999969482422,36.880001068115234,3366.2970221304618,121408.83668435323
2014-05-05,2014-05-30,39.43000030517578,40.45000076293945,3024.8430177964074,124433.67970214963
2014-10-10,2014-11-05,44.029998779296875,47.79999923706055,9801.81829201352,134235.49799416316
2014-12-16,2015-04-24,45.15999984741211,45.65999984741211,1402.0837788733784,135637.58177303654
2015-06-04,2015-07-16,46.36000061035156,46.0099983215332,-1017.433866815222,134620.1479062213
2015-08-20,2015-10-01,45.65999984741211,44.75,-2746.117739904948,131874.03016631637
2016-01-07,2016-03-30,52.16999816894531,54.93000030517578,6611.673206478851,138485.70337279522
2016-04-22,2016-07-11,51.779998779296875,52.5,1895.9854571028525,140381.68882989808
2016-09-09,2016-11-07,56.209999084472656,59.779998779296875,8294.647492048953,148676.33632194702
2018-03-22,2018-04-17,89.79000091552734,95.0,8062.908073078974,156739.244395026
2018-10-11,2018-11-28,105.91000366210938,107.88999938964844,2792.863810016405,159532.1082050424
2018-12-17,2019-01-18,102.88999938964844,107.45999908447266,6768.746560288558,166300.85476533097
2019-08-05,2019-09-05,132.2100067138672,139.11000061035156,8193.322797978446,174494.1775633094
2019-10-02,2019-10-11,134.64999389648438,140.1199951171875,6833.357777247262,181327.53534055667
2020-03-09,2020-04-14,150.6199951171875,169.0,19187.110210145085,200514.64555070177
2020-08-11,2020-08-26,203.3800048828125,217.8800048828125,13147.015332254981,213661.66088295676
2020-09-08,2020-10-12,202.66000366210938,218.7899932861328,15566.21710976674,229227.8779927235
2021-03-03,2021-04-01,227.55999755859375,238.47000122070312,10319.27759593275,239547.15558865623
2021-09-28,2021-10-14,283.5199890136719,299.2099914550781,12414.51843441103,251961.67402306726
2021-12-14,2021-12-27,328.3399963378906,335.4599914550781,5238.6211850331865,257200.29520810043
2022-01-05,2022-03-22,316.3800048828125,299.79998779296875,-14024.815247988668,243175.47996011176
2022-04-11,2022-07-28,285.260009765625,269.75,-13645.143153185027,229530.33680692673
2022-08-29,2022-10-24,265.2300109863281,243.75999450683594,-19931.325030487802,209599.0117764389
2022-11-03,2022-11-11,214.25,242.99000549316406,24377.308627485272,233976.32040392418
